ID,Region,Site,Block,Circle,Block.ID,Horizon,Sample_Depth.cm,Volume.cm3,Intended_sample_depth.cm ,WP,Date_time ,Latitude,Longitude,Altitude,Land_Use,Last_fire.yr,Fire_frequency.2000_2017,MAP.mm_yr,Total_weight.g,SubBefore_DRY.g,SubAfter_DRY.g,SubAfter_SIEVED.g,Tot_weight_fine_earth_air_dry.g,BD_fine_earth_air_dry,DryMatter.per,BD_fine_earth.DM.corr,LOI_550.per,LOI_900.per,fraction_inorg_C,fraction_org_C,Clay.per,Silt.per,Sand.per,Tot.C.per,C.kg_m2,Org.C.per,Tot.N.per,N.kg_m2,pH,CEC.cmol_kg,Al.g_kg,Fe.g_kg,P.g_kg,Olsen-P.mg_kg,BD.per.block_A-horizon
19,Makao,1,3,2,3,A-hor,5.00,132.00,5.00,11,10/12/2017 18:09,-3.24  376,34.51 034,1649,Pasture,2010,6,672.04,160,52.36,49.12,37.7,115.20,0.87,,,,,,,,,,1.77,0.77,,0.15,0.07,7.27,,,,,,
20,Makao,1,3,2,3,Min-hor,15.33,97.34,15.00,11,10/12/2017 18:09,-3.24  376,34.51 034,1649,Pasture,2010,6,672.04,187,51.79,47.96,30.8,111.21,1.14,,,,,,,,,,1.48,2.59,,0.14,0.24,7.37,,,,,,
21,Makao,1,3,3,3,A-hor,5.00,132.00,5.00,12,10/12/2017 18:23,-3.24  374,34.51 028,1649,Pasture,2010,6,672.04,207,51.64,49.2,45.2,181.19,1.37,,,,,,,,,,2.24,1.54,,0.20,0.14,7.15,,,,,,
22,Makao,1,3,3,3,Min-hor,18.17,124.03,15.00,12,10/12/2017 18:23,-3.24  374,34.51 028,1649,Pasture,2010,6,672.04,191.5,52.71,49.97,38.4,139.51,1.12,,,,,,,,,,1.86,3.80,,0.09,0.19,8.28,,,,,,
23,Makao,1,3,4,3,A-hor,5.00,132.00,5.00,,,,,,Pasture,2010,6,672.04,212,53.52,51.04,46.2,183.00,1.39,,,,,,,,,,1.76,1.22,,0.17,0.11,7.98,,,,,,
24,Makao,1,3,4,3,Min-hor,17.50,117.75,15.00,,,,,,Pasture,2010,6,672.04,174.5,52.81,49.94,41.7,137.79,1.17,,,,,,,,,,1.70,3.48,,0.08,0.16,8.4,,,,,,
25,Makao,1,4,1,4,A-hor,5.00,132.00,5.00,28,11/12/2017 15:54,-3.24  391,34.51 074,1656,Pasture,2010,6,672.04,212,105.41,100.54,90.6,182.21,1.38,,,,,,,,,,1.55,1.07,,0.14,0.10,7.05,,,,,,1.072
26,Makao,1,4,1,4,Min-hor,15.33,97.34,15.00,28,11/12/2017 15:54,-3.24  391,34.51 074,1656,Pasture,2010,6,672.04,162.5,49.56,47.77,36.8,120.66,1.24,,,,,,,,,,0.79,1.51,,0.03,0.06,7.44,,,,,,
27,Makao,1,4,2,4,A-hor,5.00,132.00,5.00,29,11/12/2017 16:06,-3.24  389,34.51 068,1656,Pasture,2010,6,672.04,179,52.63,51.46,44.1,149.99,1.14,,,,,,,,,,1.75,0.99,,0.14,0.08,6.77,,,,,,
28,Makao,1,4,2,4,Min-hor,8.50,32.97,15.00,29,11/12/2017 16:06,-3.24  389,34.51 068,1656,Pasture,2010,6,672.04,49,49.50,48.56,32.1,31.78,0.96,,,,,,,,,,1.19,0.97,,0.07,0.05,6.63,,,,,,
29,Makao,1,4,3,4,A-hor,5.00,132.00,5.00,30,11/12/2017 16:27,-3.24  382,34.51 066,1657,Pasture,2010,6,672.04,168,49.14,47.63,38.5,131.62,1.00,,,,,,,,,,2.29,1.14,,0.21,0.10,6.94,,,,,,
30,Makao,1,4,3,4,Min-hor,8.00,28.26,15.00,30,11/12/2017 16:27,-3.24  382,34.51 066,1657,Pasture,2010,6,672.04,38.5,39.33,37.93,25.7,25.16,0.89,,,,,,,,,,1.28,0.91,,0.10,0.07,7.05,,,,,,
31,Makao,1,4,4,4,A-hor,5.00,132.00,5.00,31,11/12/2017 16:34,-3.24  379,34.51 074,1655,Pasture,2010,6,672.04,140,47.97,45.56,35.1,102.44,0.78,,,,,,,,,,3.07,1.19,,0.29,0.11,7.09,,,,,,
32,Makao,1,4,4,4,Min-hor,9.83,45.53,15.00,31,11/12/2017 16:34,-3.24  379,34.51 074,1655,Pasture,2010,6,672.04,91,48.04,44.9,36.7,69.52,1.53,,,,,,,,,,2.17,3.26,,0.18,0.28,7.59,,,,,,
33,Maswa,2,1,1,5,A-hor,5.00,132.00,5.00,21,11/12/2017 11:11,-3.17  971,34.50 892,1667,Wild,2007,3,717.36,145,99.61,88.82,88.82,129.29,0.98,94.02,0.92,9.30,12.25,0.24,0.76,62,26,12,3.71,1.82,2.82,0.37,0.18,7.22,70.73,2.8,1.6,0.37,15,1.033
34,Maswa,2,1,1,5,Min-hor,17.50,117.75,15.00,21,11/12/2017 11:11,-3.17  971,34.50 892,1667,Wild,2007,3,717.36,146,97.80,83.86,83.86,125.19,1.06,93.64,1.00,8.17,11.34,0.28,0.72,62,26,12,2.58,4.80,1.86,0.24,0.45,7.18,65.01,2.7,1.5,0.29,<5.2,
35,Maswa,2,1,2,5,A-hor,5.00,132.00,5.00,22,11/12/2017 11:24,-3.17  969,34.50 902,1666,Wild,2007,3,717.36,140,50.14,45.3,45.3,126.49,0.96,,,,,,,,,,3.50,1.68,,0.36,0.17,7.38,,,,,,
36,Maswa,2,1,2,5,Min-hor,17.17,114.61,15.00,22,11/12/2017 11:24,-3.17  969,34.50 902,1666,Wild,2007,3,717.36,146,48.75,42.08,42.08,126.02,1.10,,,,,,,,,,2.72,5.13,,0.24,0.45,7.311,,,,,,
37,Maswa,2,1,3,5,A-hor,5.00,132.00,5.00,23,11/12/2017 11:27,-3.17  958,34.50 894,1668,Wild,2007,3,717.36,157,48.60,43.6,43.6,140.85,1.07,,,,,,,,,,3.31,1.77,,0.34,0.18,7.04,,,,,,
38,Maswa,2,1,3,5,Min-hor,18.50,127.17,15.00,23,11/12/2017 11:27,-3.17  958,34.50 894,1668,Wild,2007,3,717.36,134.5,52.37,45.08,45.08,115.78,0.91,,,,,,,,,,2.67,4.50,,0.24,0.40,7.1,,,,,,
39,Maswa,2,1,4,5,A-hor,5.00,132.00,5.00,24,11/12/2017 11:38,-3.17  974,34.50 891,1667,Wild,2007,3,717.36,165,51.54,46.42,46.42,148.61,1.13,,,,,,,,,,3.16,1.78,,0.30,0.17,7.35,,,,,,
40,Maswa,2,1,4,5,Min-hor,17.33,116.18,15.00,24,11/12/2017 11:38,-3.17  974,34.50 891,1667,Wild,2007,3,717.36,165,50.13,43.65,43.65,143.67,1.24,,,,,,,,,,2.75,5.89,,0.26,0.55,7.3,,,,,,
41,Maswa,2,2,1,6,A-hor,5.00,132.00,5.00,25,11/12/2017 12:07,-3.18  144,34.50 887,1668,Wild,2007,2,717.36,139,103.04,95.04,95.04,128.21,0.97,,,,,,,,,,2.97,1.44,,0.27,0.13,7.32,,,,,,0.997
42,Maswa,2,2,1,6,Min-hor,16.17,105.19,15.00,25,11/12/2017 12:07,-3.18  144,34.50 887,1668,Wild,2007,2,717.36,156,96.36,86.6,86.6,140.20,1.33,,,,,,,,,,2.50,5.39,,0.24,0.53,7.49,,,,,,
43,Maswa,2,2,2,6,A-hor,5.00,132.00,5.00,26,11/12/2017 12:24,-3.18  155,34.50 886,1668,Wild,2007,2,717.36,135,49.79,46.14,46.14,125.10,0.95,,,,,,,,,,3.20,1.52,,0.32,0.15,7.44,,,,,,
44,Maswa,2,2,2,6,Min-hor,15.50,98.91,15.00,26,11/12/2017 12:24,-3.18  155,34.50 886,1668,Wild,2007,2,717.36,130.5,50.92,45.22,45.22,115.89,1.17,,,,,,,,,,2.42,4.40,,0.23,0.42,7.45,,,,,,
45,Maswa,2,2,3,6,A-hor,5.00,132.00,5.00,27,11/12/2017 12:25,-3.18  155,34.50 885,1667,Wild,2007,2,717.36,149,54.53,50.28,50.28,137.39,1.04,,,,,,,,,,2.93,1.52,,0.31,0.16,7.16,,,,,,
46,Maswa,2,2,3,6,Min-hor,17.50,117.75,15.00,27,11/12/2017 12:25,-3.18  155,34.50 885,1667,Wild,2007,2,717.36,147,47.58,42.16,42.16,130.25,1.11,,,,,,,,,,2.49,4.82,,0.24,0.46,7.35,,,,,,
47,Maswa,2,2,4,6,A-hor,5.00,132.00,5.00,,,,,,Wild,2007,2,717.36,145.2,51.00,47.7,47.7,135.80,1.03,,,,,,,,,,3.23,1.66,,0.28,0.14,7.65,,,,,,
48,Maswa,2,2,4,6,Min-hor,16.00,103.62,15.00,,,,,,Wild,2007,2,717.36,137,54.05,47.94,47.94,121.51,1.17,,,,,,,,,,2.50,4.69,,0.22,0.41,7.58,,,,,,
49,Maswa,2,3,1,7,A-hor,5.00,132.00,5.00,13,11/12/2017 08:23,-3.17  744,34.51 128,1669,Wild,2004,1,754.84,188,97.70,88.3,88.3,169.91,1.29,94.58,1.22,8.48,10.94,0.22,0.78,44,39,17,3.05,1.96,2.36,0.27,0.18,7.03,56.57,2.5,1.2,1.2,44,1.170
50,Maswa,2,3,1,7,Min-hor,16.67,109.90,15.00,13,11/12/2017 08:23,-3.17  744,34.51 128,1669,Wild,2004,1,754.84,133,89.41,79.63,79.63,118.45,1.08,94.64,1.02,7.20,9.87,0.27,0.73,45,39,16,2.16,3.88,1.58,0.21,0.37,7.02,54.36,2.3,1,1.2,25,
51,Maswa,2,3,2,7,A-hor,5.00,132.00,5.00,14,11/12/2017 08:34,-3.17  746,34.51 140,1670,Wild,2004,1,754.84,159,50.29,47.46,47.46,150.05,1.14,,,,,,,,,,3.93,2.23,,0.39,0.22,7.31,,,,,,
52,Maswa,2,3,2,7,Min-hor,16.83,111.47,15.00,14,11/12/2017 08:34,-3.17  746,34.51 140,1670,Wild,2004,1,754.84,124,50.75,46.2,46.2,112.88,1.01,,,,,,,,,,2.29,3.90,,0.21,0.35,7.13,,,,,,
53,Maswa,2,3,3,7,A-hor,5.00,132.00,5.00,15,11/12/2017 08:40,-3.17  735,34.51 133,1670,Wild,2004,1,754.84,161,50.15,48.03,48.03,154.19,1.17,,,,,,,,,,2.08,1.21,,0.17,0.10,7.07,,,,,,
54,Maswa,2,3,3,7,Min-hor,17.67,119.32,15.00,15,11/12/2017 08:40,-3.17  735,34.51 133,1670,Wild,2004,1,754.84,159,50.54,46.82,46.82,147.30,1.23,,,,,,,,,,2.11,4.61,,0.17,0.37,7.03,,,,,,
55,Maswa,2,3,4,7,A-hor,5.00,132.00,5.00,16,11/12/2017 08:52,-3.17  739,34.51 146,1671,Wild,2004,1,754.84,155.5,51.49,47.51,47.51,143.48,1.09,,,,,,,,,,2.73,1.48,,0.23,0.12,7.07,,,,,,
56,Maswa,2,3,4,7,Min-hor,16.33,106.76,15.00,16,11/12/2017 08:52,-3.17  739,34.51 146,1671,Wild,2004,1,754.84,139,50.20,46.79,46.79,129.56,1.21,,,,,,,,,,2.01,3.98,,0.16,0.31,7.23,,,,,,
57,Maswa,2,4,1,8,A-hor,5.00,132.00,5.00,17,11/12/2017 09:54,-3.17  802,34.51 267,1667,Wild,2004,1,754.84,186.5,102.98,99.29,99.29,179.82,1.36,,,,,,,,,,2.32,1.58,,0.19,0.13,8.06,,,,,,1.195
58,Maswa,2,4,1,8,Min-hor,16.83,111.47,15.00,17,11/12/2017 09:54,-3.17  802,34.51 267,1667,Wild,2004,1,754.84,139,107.46,98.8,92.8,120.04,1.08,,,,,,,,,,2.48,4.50,,0.20,0.36,7.81,,,,,,
59,Maswa,2,4,2,8,A-hor,5.00,132.00,5.00,18,11/12/2017 10:07,-3.17  795,34.51 259,1668,Wild,2004,1,754.84,156,56.07,52.34,52.34,145.62,1.10,,,,,,,,,,2.78,1.53,,0.23,0.13,7.89,,,,,,
60,Maswa,2,4,2,8,Min-hor,17.50,117.75,15.00,18,11/12/2017 10:07,-3.17  795,34.51 259,1668,Wild,2004,1,754.84,146,50.83,44.57,44.57,128.02,1.09,,,,,,,,,,2.55,4.86,,0.24,0.45,7.58,,,,,,
61,Maswa,2,4,3,8,A-hor,5.00,132.00,5.00,19,11/12/2017 10:21,-3.17  807,34.51 259,1668,Wild,2004,1,754.84,160,50.63,47.16,47.16,149.03,1.13,,,,,,,,,,3.20,1.80,,0.29,0.16,7.86,,,,,,
62,Maswa,2,4,3,8,Min-hor,17.83,120.89,15.00,19,11/12/2017 10:21,-3.17  807,34.51 259,1668,Wild,2004,1,754.84,168,54.33,49.04,49.04,151.64,1.25,,,,,,,,,,2.54,5.67,,0.22,0.49,7.8,,,,,,
63,Maswa,2,4,4,8,A-hor,5.00,132.00,5.00,20,11/12/2017 10:33,-3.17  800,34.51 257,1667,Wild,2004,1,754.84,166,52.78,49.76,49.76,156.50,1.19,,,,,,,,,,2.44,1.45,,0.22,0.13,7.85,,,,,,
64,Maswa,2,4,4,8,Min-hor,18.17,124.03,15.00,20,11/12/2017 10:33,-3.17  800,34.51 257,1667,Wild,2004,1,754.84,175,51.85,46.93,46.93,158.39,1.28,,,,,,,,,,1.63,3.78,,0.15,0.34,7.77,,,,,,
65,Mwantimba,3,1,1,9,A-hor,5.00,132.00,5.00,32,13/12/2017 09:29,-2.21  014,34.02 978,1249,Pasture,2000,0,1295.06,175.5,102.84,96.46,96.46,164.61,1.25,97.26,1.21,6.32,7.63,0.17,0.83,34,20,46,1.89,1.18,1.56,0.17,0.11,6.71,38.43,0.96,1.6,1.3,150,1.341
66,Mwantimba,3,1,1,9,Min-hor,17.17,114.61,15.00,32,13/12/2017 09:29,-2.21  014,34.02 978,1249,Pasture,2000,0,1295.06,168,99.89,91.74,91.74,154.29,1.35,97.17,1.31,5.68,7.04,0.19,0.81,37,19,44,0.97,2.24,0.78,0.08,0.19,7.04,43.52,0.98,2.3,1.3,250,
67,Mwantimba,3,1,2,9,A-hor,5.00,132.00,5.00,33,13/12/2017 09:52,-2.21  029,34.02 977,1252,Pasture,2000,0,1295.06,195,52.72,49.75,46.6,172.36,1.31,,,,,,,,,,2.06,1.35,,0.17,0.11,6.53,,,,,,
68,Mwantimba,3,1,2,9,Min-hor,17.33,116.18,15.00,33,13/12/2017 09:52,-2.21  029,34.02 977,1252,Pasture,2000,0,1295.06,168,52.77,49.05,49.05,156.16,1.34,,,,,,,,,,1.82,4.24,,0.15,0.35,6.62,,,,,,
69,Mwantimba,3,1,3,9,A-hor,5.00,132.00,5.00,34,13/12/2017 09:54,-2.21  022,34.02 983,1252,Pasture,2000,0,1295.06,200,48.07,45.33,45.33,188.60,1.43,,,,,,,,,,1.57,1.12,,0.13,0.09,6.39,,,,,,
70,Mwantimba,3,1,3,9,Min-hor,17.17,114.61,15.00,34,13/12/2017 09:54,-2.21  022,34.02 983,1252,Pasture,2000,0,1295.06,177,48.69,45.02,45.02,163.66,1.43,,,,,,,,,,1.86,4.56,,0.15,0.37,6.55,,,,,,
71,Mwantimba,3,1,4,9,A-hor,5.00,132.00,5.00,35,13/12/2017 10:03,-2.21  023,34.02 978,1253,Pasture,2000,0,1295.06,194,45.25,42.53,42.53,182.34,1.38,,,,,,,,,,1.87,1.29,,0.15,0.10,6.52,,,,,,
72,Mwantimba,3,1,4,9,Min-hor,17.83,120.89,15.00,35,13/12/2017 10:03,-2.21  023,34.02 978,1253,Pasture,2000,0,1295.06,185.5,48.88,45.66,45.66,173.28,1.43,,,,,,,,,,0.99,2.54,,0.08,0.21,6.79,,,,,,
73,Mwantimba,3,2,1,10,A-hor,5.00,132.00,5.00,36,13/12/2017 10:40,-2.20  911,34.03 005,1252,Pasture,2000,0,1295.06,178.3,98.69,90.15,90.15,162.87,1.23,,,,,,,,,,1.91,1.18,,0.15,0.09,6.65,,,,,,1.360
74,Mwantimba,3,2,1,10,Min-hor,16.67,109.90,15.00,36,13/12/2017 10:40,-2.20  911,34.03 005,1252,Pasture,2000,0,1295.06,175,101.94,95.8,95.8,164.46,1.50,,,,,,,,,,1.26,3.15,,0.09,0.22,6.81,,,,,,
75,Mwantimba,3,2,2,10,A-hor,5.00,132.00,5.00,37,13/12/2017 10:55,-2.20  927,34.02 999,1252,Pasture,2000,0,1295.06,194,50.2,47.65,47.65,184.15,1.40,,,,,,,,,,1.35,0.94,,0.11,0.08,6.68,,,,,,
76,Mwantimba,3,2,2,10,Min-hor,14.17,86.35,15.00,37,13/12/2017 10:55,-2.20  927,34.02 999,1252,Pasture,2000,0,1295.06,142,53.19,48.63,48.63,129.83,1.50,,,,,,,,,,1.29,2.74,,0.10,0.21,6.81,,,,,,
77,Mwantimba,3,2,3,10,A-hor,5.00,132.00,5.00,38,13/12/2017 11:07,-2.20  923,34.03 006,1252,Pasture,2000,0,1295.06,195,55.36,50.97,50.97,179.54,1.36,,,,,,,,,,2.31,1.57,,0.18,0.12,6.84,,,,,,
78,Mwantimba,3,2,3,10,Min-hor,16.83,111.47,15.00,38,13/12/2017 11:07,-2.20  923,34.03 006,1252,Pasture,2000,0,1295.06,185.5,51.77,48.22,48.22,172.78,1.55,,,,,,,,,,1.37,3.59,,0.10,0.27,6.84,,,,,,
79,Mwantimba,3,2,4,10,A-hor,5.00,132.00,5.00,39,13/12/2017 11:22,-2.20  919,34.03 007,1251,Pasture,2000,0,1295.06,205,50.5,47.23,47.23,191.73,1.45,,,,,,,,,,1.76,1.28,,0.14,0.10,6.69,,,,,,
80,Mwantimba,3,2,4,10,Min-hor,16.67,109.90,15.00,39,13/12/2017 11:22,-2.20  919,34.03 007,1251,Pasture,2000,0,1295.06,196,49.22,45.41,45.41,180.83,1.65,,,,,,,,,,1.08,2.97,,0.08,0.22,6.83,,,,,,
81,Mwantimba,3,3,1,11,A-hor,5.00,132.00,5.00,45,13/12/2017 13:50,-2.22  061,34.03 572,1288,Pasture,2000,0,1295.06,166,103.97,98.64,89.7,143.22,1.08,97.47,1.06,7.16,8.06,0.11,0.89,28,27,46,1.87,1.02,1.66,0.14,0.07,6.19,38.83,1.3,5.8,0.76,81,1.102
82,Mwantimba,3,3,1,11,Min-hor,17.17,114.61,15.00,45,13/12/2017 13:50,-2.22  061,34.03 572,1288,Pasture,2000,0,1295.06,178,105.96,94.8,86.4,145.14,1.27,97.26,1.23,6.75,7.75,0.13,0.87,34,26,39,1.75,3.81,1.53,0.13,0.28,6.01,39.91,1.5,5.8,0.62,57,
83,Mwantimba,3,3,2,11,A-hor,5.00,132.00,5.00,46,13/12/2017 14:05,-2.22  063,34.03 560,1267,Pasture,2000,0,1295.06,158,53.35,47.64,44.9,132.97,1.01,,,,,,,,,,2.08,1.05,,0.15,0.08,6.39,,,,,,
84,Mwantimba,3,3,2,11,Min-hor,14.33,87.92,15.00,46,13/12/2017 14:05,-2.22  063,34.03 560,1267,Pasture,2000,0,1295.06,112,49.16,43.25,43.25,98.54,1.12,,,,,,,,,,2.56,4.11,,0.22,0.35,6.37,,,,,,
85,Mwantimba,3,3,3,11,A-hor,5.00,132.00,5.00,47,13/12/2017 14:11,-2.22  069,34.03 559,1268,Pasture,2000,0,1295.06,176,51.06,47.58,45.2,155.80,1.18,,,,,,,,,,2.04,1.20,,0.14,0.08,6.35,,,,,,
86,Mwantimba,3,3,3,11,Min-hor,17.50,117.75,15.00,47,13/12/2017 14:11,-2.22  069,34.03 559,1268,Pasture,2000,0,1295.06,166,49.35,43.77,39,131.19,1.11,,,,,,,,,,2.43,4.74,,0.16,0.32,6.2,,,,,,
87,Mwantimba,3,3,4,11,A-hor,5.00,132.00,5.00,48,13/12/2017 14:21,-2.22  058,34.03 564,1269,Pasture,2000,0,1295.06,170,52.27,48.67,46.1,149.93,1.14,,,,,,,,,,3.46,1.96,,0.24,0.13,6.43,,,,,,
88,Mwantimba,3,3,4,11,Min-hor,16.17,105.19,15.00,48,13/12/2017 14:21,-2.22  058,34.03 564,1269,Pasture,2000,0,1295.06,172,43.76,38.09,38.09,149.71,1.42,,,,,,,,,,2.56,5.90,,0.18,0.40,6.13,,,,,,
89,Mwantimba,3,4,1,12,A-hor,5.00,132.00,5.00,41,13/12/2017 12:49,-2.22  051,34.03 624,1271,Pasture,2000,0,1295.06,167,101.93,92.81,90.1,147.62,1.12,,,,,,,,,,3.26,1.82,,0.22,0.12,6.63,,,,,,1.116
90,Mwantimba,3,4,1,12,Min-hor,17.67,119.32,15.00,41,13/12/2017 12:49,-2.22  051,34.03 624,1271,Pasture,2000,0,1295.06,162,101.89,86.38,86.38,137.34,1.15,,,,,,,,,,2.79,5.68,,0.19,0.38,6.81,,,,,,
91,Mwantimba,3,4,2,12,A-hor,5.00,132.00,5.00,42,13/12/2017 13:07,-2.22  061,34.03 624,1271,Pasture,2000,0,1295.06,165,49.93,44.93,44.93,148.48,1.12,,,,,,,,,,2.03,1.14,,0.15,0.08,6.7,,,,,,
92,Mwantimba,3,4,2,12,Min-hor,16.33,106.76,15.00,42,13/12/2017 13:07,-2.22  061,34.03 624,1271,Pasture,2000,0,1295.06,144,48.26,41.14,41.14,122.76,1.15,,,,,,,,,,2.15,4.03,,0.16,0.29,7.06,,,,,,
93,Mwantimba,3,4,3,12,A-hor,5.00,132.00,5.00,43,13/12/2017 13:15,-2.22  050,34.03 628,1270,Pasture,2000,0,1295.06,170,48.83,42.94,42.94,149.49,1.13,,,,,,,,,,1.72,0.98,,0.12,0.07,6.6,,,,,,
94,Mwantimba,3,4,3,12,Min-hor,17.67,119.32,15.00,43,13/12/2017 13:15,-2.22  050,34.03 628,1270,Pasture,2000,0,1295.06,160,48.84,41.39,41.39,135.59,1.14,,,,,,,,,,1.50,3.00,,0.10,0.20,6.81,,,,,,
95,Mwantimba,3,4,4,12,A-hor,5.00,132.00,5.00,44,13/12/2017 13:29,-2.22  056,34.03 637,1269,Pasture,2000,0,1295.06,158,49.29,44.79,44.79,143.58,1.09,,,,,,,,,,2.73,1.49,,0.19,0.10,6.77,,,,,,
