Experiment;Season;Plot;Site;Region;Landuse;Block;Blockcode;Samplecode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash uncorrected;Massloss (g);rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots ;S;K
Main;Wet;21;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T5;Open;Green;G699;1.984;1.734;5.51;1.639;0.739;0.588;10.099;0.529;01.02.2017;24.03.2017;51;1.146;1.110;185.6300658;54.08;21.26;24.65;clay;5.84;;;;;34.15;20.6;-3.385401992;34.81894604;NO;NO;YES;0.195695045;
Main;Wet;22;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T6;Open;Green;G575;1.997;1.747;5.51;1.651;0.740;0.590;9.826;0.532;01.02.2017;24.03.2017;51;1.158;1.119;185.6300658;54.08;21.26;24.65;clay;6.84;;;;;34.55;21.5;-3.385447003;34.81894696;NO;NO;YES;0.194840319;
Main;Wet;23;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T7;Open;Green;G492;1.948;1.698;5.51;1.605;0.770;0.619;11.479;0.548;01.02.2017;24.03.2017;51;1.079;1.057;185.6300658;54.08;21.26;24.65;clay;7.84;;;;;34.50;20.65;-3.385420013;34.81885602;NO;NO;YES;0.217928784;
Main;Wet;24;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T8;Open;Green;G813;1.955;1.705;5.51;1.611;0.748;0.597;11.584;0.528;01.02.2017;24.03.2017;51;1.108;1.083;185.6300658;54.08;21.26;24.65;clay;8.84;;;;;36.95;21.1;-3.385382965;34.81887798;NO;NO;YES;0.201639744;
Main;Wet;25;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T1;Open;Green;G406;2.091;1.841;5.51;1.740;0.684;0.533;12.537;0.467;01.02.2017;24.03.2017;51;1.308;1.273;185.6300658;51.96;18.92;29.12;clay;1.85;;;;;36.85;21.35;-3.384912992;34.81889902;NO;NO;NO;0.13084376;
Main;Wet;26;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T2;Open;Green;G651;1.970;1.720;5.51;1.625;0.776;0.625;12.512;0.547;01.02.2017;24.03.2017;51;1.095;1.078;185.6300658;51.96;18.92;29.12;clay;2.85;;;;;31.30;20.7;-3.384969;34.818908;NO;NO;YES;0.212030601;
Main;Wet;27;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T3;Open;Green;G583;2.183;1.933;5.51;1.827;0.662;0.511;12.757;0.446;01.02.2017;24.03.2017;51;1.422;1.381;185.6300658;51.96;18.92;29.12;clay;3.85;;;;;28.90;21.4;-3.384935036;34.81894302;NO;NO;NO;0.102276533;
Main;Wet;28;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T4;Open;Green;G702;2.109;1.859;5.51;1.757;0.737;0.586;10.711;0.524;01.02.2017;24.03.2017;51;1.273;1.233;185.6300658;51.96;18.92;29.12;clay;4.85;;;;;33.40;20.6;-3.385007037;34.81888896;NO;NO;NO;0.166341501;
Main;Wet;29;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T5;Open;Green;G838;2.037;1.787;5.51;1.689;0.708;0.558;8.240;0.512;01.02.2017;24.03.2017;51;1.230;1.177;185.6300658;51.96;18.92;29.12;clay;5.85;;;;;28.40;21.05;-3.384948028;34.81885401;NO;NO;YES;0.172268941;
Main;Wet;30;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T6;Open;Green;G518;1.995;1.745;5.51;1.649;0.682;0.531;11.010;0.473;01.02.2017;24.03.2017;51;1.214;1.176;185.6300658;51.96;18.92;29.12;clay;6.85;;;;;26.90;20.7;-3.38496496;34.81879097;NO;NO;YES;0.152950564;
Main;Wet;31;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T7;Open;Green;G404;2.113;1.863;5.51;1.760;0.754;0.603;13.930;0.519;01.02.2017;24.03.2017;51;1.260;1.242;185.6300658;51.96;18.92;29.12;clay;7.85;;;;;33.00;20.95;-3.384840991;34.818839;NO;NO;YES;0.162426481;
Main;Wet;32;Makao;Dry;Agriculture;4;Dry_Ag4;Dry_Ag4_T8;Open;Green;G527;1.913;1.663;5.51;1.571;0.664;0.514;8.492;0.470;01.02.2017;24.03.2017;51;1.149;1.101;185.6300658;51.96;18.92;29.12;clay;8.85;;;;;32.85;20.9;-3.384901006;34.81897999;NO;NO;YES;0.167684087;
Main;Wet;33;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T1;Open;Green;G366;2.107;1.857;5.51;1.755;0.767;0.616;9.367;0.559;30.01.2017;26.03.2017;55;1.241;1.196;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;9.5;17.2;G;0;30.50;25.25;-3.409203999;34.85275101;NO;NO;YES;0.190457262;
Main;Wet;34;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T2;Open;Green;G516;2.116;1.866;5.51;1.763;0.873;0.722;39.314;0.438;30.01.2017;26.03.2017;55;1.144;1.325;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;6.5;14.2;G;0;21.00;25.55;-3.409235012;34.85278202;YES;YES;YES;0.107506997;
Main;Wet;35;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T3;Open;Green;G670;2.095;1.845;5.51;1.743;0.817;0.666;18.586;0.543;30.01.2017;26.03.2017;55;1.179;1.201;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;0.7;10.6;G;0;10.90;24.45;-3.409177009;34.85281899;NO;NO;NO;0.181937848;
Main;Wet;36;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T4;Open;Green;G507;1.990;1.740;5.51;1.644;0.681;0.530;8.301;0.486;30.01.2017;26.03.2017;55;1.210;1.158;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;3.3;4.9;G;1;14.10;24.75;-3.40917198;34.85296098;NO;NO;YES;0.163663599;
Main;Wet;37;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T5;Open;Green;G359;1.979;1.729;5.51;1.634;0.947;0.796;25.172;0.596;30.01.2017;26.03.2017;55;0.933;1.038;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;8.3;27.8;G;0;19.30;24.55;-3.409070978;34.85271203;YES;YES;NO;0.245536826;
Main;Wet;38;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T6;Open;Green;G499;1.942;1.692;5.51;1.599;1.474;1.324;18.803;1.075;30.01.2017;26.03.2017;55;0.369;0.524;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;2;20.4;O;0;20.90;24.1;-3.409280023;34.85261296;YES;YES;YES;0.610596609;
Main;Wet;39;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T7;Open;Green;G214;1.985;1.735;5.51;1.640;0.833;0.682;9.946;0.614;30.01.2017;26.03.2017;55;1.053;1.025;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;2.4;18;G;1;26.90;23.3;-3.40938597;34.85285503;NO;NO;YES;0.257315648;
Main;Wet;40;Makao;Dry;Pasture;1;Dry_P1;Dry_P1_T8;Open;Green;G582;2.022;1.772;5.51;1.674;0.898;0.747;16.508;0.624;30.01.2017;26.03.2017;55;1.025;1.050;228.3243592;23.96;0.92;75.12;sandy clay loam;1.25;8.7;19.3;G;0;31.90;23.9;-3.409153959;34.85275503;NO;YES;NO;0.254950463;
Main;Wet;41;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T1;Open;Green;G453;2.079;1.829;5.51;1.728;1.051;0.900;20.030;0.720;31.01.2017;26.03.2017;54;0.929;1.008;214.2628987;19.96;4.92;75.12;sandy loam;1.64;4;19.1;G;0;21.90;24.5;-3.408342004;34.85028304;NO;YES;YES;0.307148622;
Main;Wet;42;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T2;Open;Green;G764;1.951;1.701;5.51;1.607;0.722;0.571;14.237;0.490;31.01.2017;26.03.2017;54;1.130;1.117;214.2628987;19.96;4.92;75.12;sandy loam;1.64;5.9;12.7;G;0;19.00;22.95;-3.408407969;34.85029503;NO;YES;NO;0.174435974;
Main;Wet;43;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T3;Open;Green;G690;2.074;1.824;5.51;1.724;0.715;0.565;10.605;0.505;31.01.2017;26.03.2017;54;1.260;1.219;214.2628987;19.96;4.92;75.12;sandy loam;1.64;5;26.3;G;0;18.30;21.8;-3.408236979;34.85019;NO;YES;YES;0.160131083;
Main;Wet;44;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T4;Open;Green;G774;2.005;1.755;5.51;1.658;0.896;0.745;8.346;0.683;31.01.2017;26.03.2017;54;1.010;0.976;214.2628987;19.96;4.92;75.12;sandy loam;1.64;2.6;39.2;G;0;20.60;22.65;-3.408152992;34.85016896;NO;NO;YES;0.301345689;
Main;Wet;45;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T5;Open;Green;G519;2.143;1.893;5.51;1.789;0.776;0.625;9.377;0.566;31.01.2017;26.03.2017;54;1.268;1.222;214.2628987;19.96;4.92;75.12;sandy loam;1.64;2.3;9.3;O;0;24.40;22.15;-3.408178976;34.85051698;NO;NO;YES;0.188463828;
Main;Wet;46;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T6;Open;Green;G635;2.073;1.823;5.51;1.723;;;;;31.01.2017;26.03.2017;54;;;214.2628987;19.96;4.92;75.12;sandy loam;1.64;;;;;22.50;20.1;-3.408473013;34.85040198;NO;NO;NO;;
Main;Wet;47;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T7;Open;Green;G539;2.122;1.872;5.51;1.769;0.807;0.656;11.917;0.578;31.01.2017;26.03.2017;54;1.216;1.191;214.2628987;19.96;4.92;75.12;sandy loam;1.64;5.2;5.2;G;0;23.70;22.6;-3.408481982;34.85002404;NO;NO;YES;0.200529331;
Main;Wet;48;Makao;Dry;Pasture;2;Dry_P2;Dry_P2_T8;Open;Green;G679;2.052;1.802;5.51;1.703;0.832;0.681;7.628;0.629;31.01.2017;26.03.2017;54;1.121;1.073;214.2628987;19.96;4.92;75.12;sandy loam;1.64;7.3;27.2;M;0;21.80;21.65;-3.408199009;34.85025496;NO;NO;YES;0.251348747;
Main;Wet;49;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T1;Open;Green;G346;2.012;1.762;5.51;1.665;1.000;0.850;20.217;0.678;31.01.2017;26.03.2017;54;0.913;0.987;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;10.4;36;M;1;26.20;26.55;-3.406225992;34.85055998;NO;NO;YES;0.295788446;
Main;Wet;50;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T2;Open;Green;G418;2.016;1.766;5.51;1.669;;;;;31.01.2017;26.03.2017;54;;;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;10;22.5;M;1;31.40;22.4;-3.40626304;34.85056601;NO;NO;NO;;
Main;Wet;51;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T3;Open;Green;G548;2.169;1.919;5.51;1.813;0.864;0.713;8.996;0.649;31.01.2017;26.03.2017;54;1.206;1.164;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;3;18;O;0;20.20;27.4;-3.406392038;34.85069602;NO;NO;YES;0.237557845;
Main;Wet;52;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T4;Open;Green;G638;2.041;1.791;5.51;1.692;1.075;0.924;30.655;0.641;31.01.2017;26.03.2017;54;0.867;1.051;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;13.4;67;M;1;29.80;25.8;-3.406157;34.850739;NO;YES;YES;0.26218988;
Main;Wet;53;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T5;Open;Green;G426;2.023;1.773;5.51;1.675;;;;;31.01.2017;26.03.2017;54;;;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;;;;;20.20;22.2;-3.406114;34.850596;NO;NO;NO;;
Main;Wet;54;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T6;Open;Green;G589;2.042;1.792;5.51;1.693;;;;;31.01.2017;26.03.2017;54;;;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;;;;;30.10;22.2;-3.406058019;34.85046602;NO;NO;NO;;
Main;Wet;55;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T7;Open;Green;G622;1.978;1.728;5.51;1.633;;;;;31.01.2017;26.03.2017;54;;;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;15.8;45;M;1;33.00;25.9;-3.406138988;34.85057498;NO;NO;NO;;
Main;Wet;56;Makao;Dry;Pasture;3;Dry_P3;Dry_P3_T8;Open;Green;G538;2.176;1.926;5.51;1.820;0.810;0.659;21.852;0.515;31.01.2017;26.03.2017;54;1.267;1.305;214.2628987;21.96;8.92;69.12;sandy clay loam;1.75;15.4;30.8;M;0;29.50;27.6;-3.40629003;34.85044196;NO;YES;YES;0.14862086;
Main;Wet;57;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T1;Open;Green;G546;2.143;1.893;5.51;1.789;0.887;0.736;16.553;0.614;31.01.2017;26.03.2017;54;1.157;1.175;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;3.3;28.4;O;1;31.60;26.9;-3.406423973;34.85121301;NO;NO;YES;0.220120293;
Main;Wet;58;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T2;Open;Green;G513;2.018;1.768;5.51;1.671;0.933;0.782;17.758;0.643;31.01.2017;26.03.2017;54;0.986;1.027;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;1.4;54.4;O;0;31.60;26.7;-3.406502008;34.85105602;NO;YES;YES;0.269654899;
Main;Wet;59;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T3;Open;Green;G489;1.900;1.650;5.51;1.559;0.884;0.733;11.144;0.652;31.01.2017;26.03.2017;54;0.917;0.908;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;3.3;46;O;0;27.90;27.05;-3.406235967;34.85110799;NO;NO;NO;0.308730869;
Main;Wet;60;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T4;Open;Green;G633;2.063;1.813;5.51;1.713;0.874;0.723;12.828;0.631;31.01.2017;26.03.2017;54;1.090;1.083;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;2.4;10.2;O;0;22.50;28.6;-3.406281983;34.85137898;NO;NO;YES;0.24950491;
Main;Wet;61;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T5;Open;Green;G541;1.978;1.728;5.51;1.633;0.786;0.635;12.728;0.555;31.01.2017;26.03.2017;54;1.093;1.078;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;5.6;34.2;O;0;20.40;27.45;-3.406569986;34.85132399;YES;YES;NO;0.215672821;
Main;Wet;62;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T6;Open;Green;G565;2.109;1.859;5.51;1.757;0.922;0.772;20.730;0.612;31.01.2017;26.03.2017;54;1.087;1.145;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;4.2;40.4;O;0;24.70;26.8;-3.406518018;34.85121402;NO;YES;NO;0.225981406;
Main;Wet;63;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T7;Open;Green;G387;2.014;1.764;5.51;1.667;1.083;0.932;20.515;0.741;31.01.2017;26.03.2017;54;0.832;0.926;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;4.9;45;O;0;22.90;28.25;-3.406334035;34.85117203;NO;NO;YES;0.34038553;
Main;Wet;64;Makao;Dry;Pasture;4;Dry_P4;Dry_P4_T8;Open;Green;G554;2.084;1.834;5.51;1.733;1.290;1.139;36.816;0.720;31.01.2017;26.03.2017;54;0.695;1.013;214.2628987;25.96;6.92;67.12;sandy clay loam;1.76;3;22.8;O;1;34.60;22.7;-3.406340992;34.85126004;NO;YES;YES;0.305708384;
Main;Wet;65;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T1;Open;Green;G614;2.171;1.921;5.51;1.815;0.961;0.810;15.675;0.683;01.02.2017;24.03.2017;51;1.111;1.132;185.6300658;47.96;22.92;29.12;clay;2.88;13.8;13.8;O;1;32.30;22.75;-3.299396038;34.84824096;NO;NO;YES;0.25945622;
Main;Wet;66;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T2;Open;Green;G282;1.973;1.723;5.51;1.628;1.146;0.995;31.190;0.685;01.02.2017;24.03.2017;51;0.728;0.944;185.6300658;47.96;22.92;29.12;clay;3.88;8;19.8;O;1;30.60;21.95;-3.299309034;34.84840499;NO;NO;YES;0.311767939;
Main;Wet;67;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T3;Open;Green;G450;2.163;1.913;5.51;1.808;0.891;0.740;13.860;0.637;01.02.2017;24.03.2017;51;1.173;1.170;185.6300658;47.96;22.92;29.12;clay;4.88;5.5;5.5;O;1;29.90;20.7;-3.299434008;34.84851496;NO;YES;YES;0.231143241;
Main;Wet;68;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T4;Open;Green;G269;2.042;1.792;5.51;1.693;1.018;0.867;19.041;0.702;01.02.2017;24.03.2017;51;0.925;0.991;185.6300658;47.96;22.92;29.12;clay;5.88;9.7;23.4;O;1;29.85;21.2;-3.29911801;34.84824699;NO;NO;YES;0.304871744;
Main;Wet;69;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T5;Open;Green;G448;2.018;1.768;5.51;1.671;;;;;01.02.2017;24.03.2017;51;;;185.6300658;47.96;22.92;29.12;clay;6.88;14.4;24.4;O;1;31.25;23.45;-3.299318003;34.84823501;NO;NO;NO;;
Main;Wet;70;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T6;Open;Green;G358;2.016;1.766;5.51;1.669;0.843;0.692;13.571;0.598;01.02.2017;24.03.2017;51;1.074;1.070;185.6300658;47.96;22.92;29.12;clay;7.88;15;28;O;0;32.15;23.7;-3.299381034;34.84831204;YES;YES;YES;0.238245946;
Main;Wet;71;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T7;Open;Green;G511;1.993;1.743;5.51;1.647;0.837;0.687;9.336;0.623;01.02.2017;24.03.2017;51;1.056;1.024;185.6300658;47.96;22.92;29.12;clay;8.88;15.5;32;O;1;29.35;21.95;-3.299242985;34.84790099;NO;NO;YES;0.261346982;
Main;Wet;72;Maswa;Dry;Wild;1;Dry_W1;Dry_W1_T8;Open;Green;G383;1.956;1.706;5.51;1.612;0.826;0.675;8.960;0.614;01.02.2017;24.03.2017;51;1.031;0.998;185.6300658;47.96;22.92;29.12;clay;9.88;2.6;44;O;1;32.00;21.9;-3.299654033;34.84815102;NO;NO;YES;0.265002888;
Main;Wet;73;Maswa;Dry;Wild;2;Dry_W2;Dry_W2_T1;Open;Green;G549;2.016;1.766;5.51;1.669;0.742;0.591;10.980;0.526;01.02.2017;24.03.2017;51;1.175;1.142;185.6300658;45.27;23.60;31.12;clay;2.05;9.1;10;M;1;27.85;26.15;-3.302586023;34.84804801;NO;YES;YES;0.187023408;
Main;Wet;74;Maswa;Dry;Wild;2;Dry_W2;Dry_W2_T2;Open;Green;G605;2.046;1.796;5.51;1.697;1.195;1.044;62.512;0.392;01.02.2017;24.03.2017;51;0.752;1.306;185.6300658;45.27;23.60;31.12;clay;3.05;7.7;9.4;M;1;24.65;24.35;-3.302577976;34.84804197;NO;YES;YES;0.086335261;
